LOCATIONS	Type	Area	Street	Position	SpeedZone_Radius	SpeedZone_Speed	Region	Dispatchmessage	Music
1	DrifterScene	AREA_VINEWOOD_HILLS_01	Marlowe Drive	-1071.284f, 1172.085f, 215.472f	80f	8f	1	10-50 at	0
2	DrifterScene	AREA_GRAPESEED_01	Union Road	2330.917f, 5213.484f, 59.487f	80f	8f	2	10-50 at	0
3	DrifterScene	STREET_GREAT_OCEAN_HWY_01	US Route 1	-1289.924f, 5262.836f, 51.926f	80f	8f	3	10-50 at	0
4	CyclistScene	AREA_VINEWOOD_HILLS_01	Mt.Haan Road	1204.949f, 1317.503f, 145f	80f	8f	1	Reported 10-33 at	0
5	CyclistScene	AREA_THE_ALAMO_SEA_01	Calafia Road	-231.899f, 3879.420f, 37.520f	80f	8f	2	Reported 10-33 at	0
6	CyclistScene	AREA_THE_CHILLIAD_MOUNTAIN_STATE_WILDERNESS_01	Cassidy Trail	-1289.563f, 4610.563f, 121.169f	80f	8f	3	Reported 10-33 at	0
7	CornerCut	AREA_TONGVA_HILLS_01	Buen Vino Road	-2044.588f, 1935.916f, 187.063f	80f	8f	1	Officers report 10-50 at	0
8	CornerCut	AREA_SAN_CHIANSKI_MOUNTAINS_01	Chianski Passage	3015.512f, 3387.339f, 73.763f	80f	8f	2	Officers report 10-50 at	0
9	CornerCut	STREET_GREAT_OCEAN_HWY_01	US Route 1	-2047.778f, 4460.698f, 57.999f	80f	8f	3	Officers report 10-50 at	0
10	TruckCrash	AREA_EL_BURRO_HEIGHTS_01	El Burro Blvd.	1902.545f, -1264.719f, 126.943f	80f	8f	1	Possible 10-57 at	0
11	TruckCrash	STREET_ROUTE_68_01	US Route 68	-973.384f, 2755.694f, 25.413f	80f	8f	2	Possible 10-57 at	0
12	TruckCrash	AREA_THE_CHILLIAD_MOUNTAIN_STATE_WILDERNESS_01	Cassidy Trail	-815.327f, 5263.136f, 87.946f	80f	8f	3	Possible 10-57 at	0
13	Freeway	STREET_PALOMINO_FWY_01	US Route 15	1790.720f, -852.161f, 73.584f	80f	8f	1	We have 10-50 at	0
14	Freeway	AREA_BRADDOCK_PASS_01 STREET_SENORA_FWY_01	US Route 13	2518.239f, 5523.961f, 44.725f	80f	8f	2	We have 10-50 at	0
15	Freeway	STREET_DEL_PERRO_FWY_01	Interstate 2	-499.429f, -505.729f, 25.667f	80f	8f	1	We have 10-50 at	0
16	Freeway	AREA_PROCOPIO_BEACH_01 STREET_GREAT_OCEAN_HWY_01	US Route 1	975.302f, 6499.112f, 21.012f	80f	8f	3	We have 10-50 at	0
